4,3,2,2,3,3,6,12,13,12
4,3,2,1,2,5,0,11,13,13
4,2,2,1,1,1,0,15,16,17
5,5,1,1,1,5,0,12,12,13
3,3,3,1,2,2,2,14,14,14
4,3,3,1,3,5,0,12,13,12
5,4,3,1,2,3,0,12,12,13
4,5,2,1,1,3,0,14,14,15
3,2,3,1,2,2,10,13,13,14
5,3,2,1,1,4,2,13,14,14
5,5,5,2,4,5,2,8,8,7
4,4,1,1,1,1,0,12,13,14
5,4,2,1,1,5,0,11,12,12
5,4,4,2,4,5,2,10,10,10
4,3,2,1,1,5,2,10,11,10
4,2,2,1,2,5,8,11,12,12
5,3,3,1,1,5,2,12,12,13
5,4,2,3,4,5,0,10,11,11
4,3,1,1,1,5,2,15,15,15
5,4,3,1,1,5,4,12,12,12
4,3,2,1,1,5,2,11,12,12
3,3,3,1,2,3,16,11,11,10
4,3,3,1,1,5,0,14,15,15
5,4,1,1,1,1,0,9,10,10
4,3,3,2,2,5,14,10,11,11
5,2,2,1,1,5,4,10,11,11
4,4,4,1,1,3,2,13,12,12
4,3,3,2,3,4,0,14,13,13
4,3,3,1,1,5,0,16,14,16
5,5,5,3,4,5,4,10,9,9
3,3,4,2,3,5,0,13,12,12
5,3,4,4,4,1,0,13,12,13
5,3,4,1,1,2,2,12,13,12
4,3,2,1,1,1,0,15,14,15
3,2,2,1,1,5,8,15,15,16
4,3,2,1,1,5,0,14,13,14
4,2,3,1,1,5,2,16,15,16
2,4,4,2,3,4,0,17,16,16
5,5,5,5,5,5,0,10,10,16
4,4,3,1,1,1,0,13,13,10
4,4,4,2,4,2,0,13,12,12
5,4,3,1,2,1,2,16,15,16
1,3,3,5,5,3,0,11,12,12
4,3,3,1,2,5,0,10,9,10
4,1,3,1,3,4,0,11,10,11
4,4,2,2,3,3,6,15,15,15
4,3,2,1,1,5,2,13,11,11
3,3,3,1,1,3,0,11,9,10
3,3,4,2,4,5,2,13,11,11
5,3,2,2,2,5,0,13,13,14
4,3,3,2,4,5,4,11,11,11
3,4,3,1,1,1,0,12,11,11
5,2,3,1,3,3,1,13,13,13
4,5,1,1,1,3,0,9,9,10
2,4,3,1,2,3,14,12,11,11
3,2,2,1,3,3,0,11,11,12
4,4,4,1,1,5,4,12,11,11
4,3,2,2,3,4,2,13,12,12
4,4,2,1,1,3,6,12,10,11
4,1,3,3,5,5,6,9,9,10
4,3,3,1,3,4,2,9,11,11
4,5,5,1,3,1,6,14,13,13
5,3,3,1,1,1,2,13,14,14
4,3,4,1,1,4,2,11,12,12
3,1,2,1,1,1,4,13,13,13
3,3,3,1,1,4,6,9,11,11
4,3,5,1,1,5,0,13,12,12
5,3,4,1,2,1,4,12,13,13
4,5,5,5,5,4,12,9,9,8
4,4,3,1,1,4,0,16,16,16
5,3,3,1,1,5,2,12,13,12
4,3,3,1,1,4,10,10,10,10
5,3,3,1,1,5,4,13,14,14
1,3,5,3,5,1,8,12,10,11
5,4,5,1,1,4,2,15,15,14
5,5,3,1,1,4,4,13,14,14
3,1,2,1,1,5,12,8,10,10
5,4,2,1,1,5,4,10,9,10
5,4,4,1,2,5,6,16,14,14
4,4,3,1,1,2,4,16,15,16
5,4,2,1,1,5,6,14,14,15
3,4,3,1,2,4,2,14,13,14
3,2,3,1,2,1,0,14,14,14
5,5,4,1,2,5,6,14,13,13
4,2,2,1,2,5,2,14,12,13
3,4,4,1,4,5,4,12,13,13
5,4,4,1,1,5,0,12,11,11
5,3,2,1,1,1,0,10,11,11
3,4,2,1,1,5,0,9,10,11
3,2,3,2,2,1,4,13,12,13
3,2,1,1,4,5,12,15,13,14
3,2,1,1,1,2,4,9,9,11
5,3,3,1,1,5,2,12,11,11
4,3,3,1,1,5,4,13,14,15
5,4,5,2,4,5,2,10,9,10
5,1,3,1,1,3,0,14,13,13
4,3,3,5,1,5,10,12,11,11
3,3,3,1,2,1,8,12,11,11
4,4,4,1,3,5,0,10,10,10
4,3,2,1,1,5,6,13,14,14
2,2,2,1,1,3,6,9,11,11
1,3,2,2,3,1,24,9,8,9
5,3,3,1,3,5,0,15,13,13
2,3,3,2,2,2,4,12,11,11
4,2,2,1,1,5,2,13,13,13
3,4,4,3,3,1,4,10,11,11
5,4,5,1,2,5,22,9,7,6
4,4,2,1,2,5,0,12,12,12
4,4,2,1,1,5,0,11,10,10
3,3,2,1,1,3,2,11,11,11
2,3,4,2,4,1,6,11,11,11
3,3,2,2,1,5,16,9,9,8
4,5,5,2,5,5,0,12,11,11
2,3,5,2,5,4,0,11,9,0
4,4,4,3,5,5,6,9,10,10
4,2,1,2,3,3,2,13,13,13
4,4,4,1,1,1,0,7,8,8
2,2,2,3,3,5,14,9,8,10
4,2,2,1,2,3,4,12,10,11
3,3,2,2,2,5,8,8,8,9
4,4,4,1,4,3,4,7,6,8
4,3,5,2,4,4,0,9,10,11
4,2,3,1,1,3,0,17,17,18
5,1,5,1,1,4,0,12,12,13
4,4,2,1,1,3,0,16,16,17
3,4,5,2,4,2,4,9,9,10
4,3,5,1,1,3,0,14,13,13
4,4,5,1,1,4,0,14,14,15
4,4,4,4,4,4,0,10,11,11
4,3,3,3,4,3,8,10,9,11
4,2,3,1,2,3,0,11,12,13
5,4,2,2,3,5,0,17,18,17
5,3,3,2,3,1,32,14,13,14
